Mary,478642
Helen,248155
Dorothy,207476
Margaret,189232
Ruth,173678
Mildred,123999
Anna,118998
Elizabeth,116811
Frances,105600
Virginia,94322
Marie,92086
Evelyn,91491
Alice,85866
Florence,81464
Lillian,75914
Rose,74690
Irene,68968
Louise,67972
Edna,66896
Catherine,65822
Gladys,65813
Ethel,63663
Josephine,61356
Ruby,60307
Martha,59509
Grace,57972
Hazel,57068
Thelma,57010
Lucille,56146
Edith,56058
Eleanor,54162
Doris,53250
Annie,52300
Pauline,50076
Gertrude,49566
Esther,49212
Betty,44894
Beatrice,44515
Marjorie,44450
Clara,44346
Emma,41819
Bernice,40346
Bertha,40120
Ann,39507
Jean,39283
Elsie,39274
Julia,39257
Agnes,39256
Lois,38181
Sarah,38120
Marion,37974
Katherine,36884
Eva,34909
Ida,34792
Bessie,33859
Pearl,33834
Anne,33478
Viola,33077
Myrtle,32432
Nellie,30879
Mabel,30783
Laura,30550
Kathryn,29236
Stella,28526
Vera,28289
Willie,28177
Jessie,27835
Jane,27740
Alma,27515
Minnie,27486
Sylvia,25655
Ella,24912
Lillie,24651
Rita,23851
Leona,23825
Barbara,23705
Vivian,23633
Lena,23624
Violet,23157
Lucy,23116
Jennie,23068
Genevieve,22830
Marguerite,22659
Charlotte,22550
Mattie,22243
Marian,22159
Blanche,21977
Mae,21530
Ellen,21500
Wilma,21383
Juanita,20878
Opal,20386
June,19244
Geraldine,18990
Beulah,18874
Velma,18630
Theresa,18348
Carrie,18067
Phyllis,17885
Maxine,17800
Nancy,17285
Emily,17070
Georgia,16672
Fannie,16632
Kathleen,16592
Hattie,16418
Inez,16342
Sophie,16179
Rosa,15976
Lorraine,15729
Hilda,15674
Harriet,15598
Norma,15502
Eunice,15474
Sara,15409
Cora,15317
Ada,15234
Geneva,15044
Alberta,14575
Loretta,14570
Mamie,14550
Christine,14094
Dora,14012
Lula,13930
Estelle,13807
Verna,13214
Audrey,13139
Madeline,13042
Shirley,12743
Eileen,12706
Daisy,12474
Sadie,12388
Olive,12355
Naomi,12029
Lola,11765
Flora,11761
Lucile,11738
Olga,11733
Mable,11718
Muriel,11701
Susie,11562
Maggie,11485
Maria,11330
Jeanette,11134
Nora,11062
Miriam,11047
Erma,10954
Dolores,10781
Victoria,10766
Wanda,10735
Janet,10713
Lottie,10651
Caroline,10589
Rachel,10481
Irma,10461
Henrietta,10400
Roberta,10370
Winifred,10255
Eula,9851
Patricia,9707
Rosie,9565
Anita,9555
Rebecca,9474
Della,9450
Nettie,9332
Sally,9301
Fern,9250
Lydia,9025
Adeline,8985
Carolyn,8940
Amelia,8832
Nina,8680
Jeanne,8647
Elaine,8576
Goldie,8563
Katie,8419
Bonnie,8335
Antoinette,8217
May,8096
Marcella,8080
Lorene,8034
Essie,7999
Arlene,7781
Ollie,7759
Dorothea,7750
Jeannette,7719
Veronica,7693
Effie,7683
Isabel,7668
Freda,7453
Regina,7389
Sallie,7378
Cleo,7369
Ora,7259
Isabelle,7255
Rosemary,7079
Addie,7077
Eloise,7069
Joan,7023
Lela,7007
